Emp_ID,Department,Tenure_Months,Base_Salary,Voluntary_Turnover,Exit_Interview
1000,Manufacturing,51,90285,No,N/A - Active Employee
1001,Sales,40,84154,No,N/A - Active Employee
1002,Engineering,7,80054,No,N/A - Active Employee
1003,Manufacturing,32,77165,No,N/A - Active Employee
1004,Manufacturing,48,74439,No,N/A - Active Employee
1005,Manufacturing,19,104518,No,N/A - Active Employee
1006,Manufacturing,6,148051,Yes,"The hiring volume is insane, we don't have enough trainers."
1007,Sales,20,86962,No,N/A - Active Employee
1008,Engineering,27,113934,No,N/A - Active Employee
1009,Engineering,53,97763,No,N/A - Active Employee
1010,Manufacturing,43,124094,No,N/A - Active Employee
1011,Sales,37,79464,No,N/A - Active Employee
1012,Engineering,48,102036,No,N/A - Active Employee
1013,Manufacturing,7,93270,No,N/A - Active Employee
1014,Manufacturing,59,102299,No,N/A - Active Employee
1015,Manufacturing,5,145805,Yes,"Great team, but the manufacturing shifts are too long."
1016,Manufacturing,11,91541,No,N/A - Active Employee
1017,Manufacturing,15,133545,Yes,"The hiring volume is insane, we don't have enough trainers."
1018,Manufacturing,3,142543,No,N/A - Active Employee
1019,Manufacturing,58,137078,No,N/A - Active Employee
1020,Engineering,5,142970,No,N/A - Active Employee
1021,Manufacturing,23,89765,No,N/A - Active Employee
1022,Manufacturing,53,83769,Yes,"The hiring volume is insane, we don't have enough trainers."
1023,Manufacturing,37,148001,No,N/A - Active Employee
1024,Manufacturing,9,147404,No,N/A - Active Employee
1025,Engineering,15,80156,No,N/A - Active Employee
1026,Manufacturing,3,145836,No,N/A - Active Employee
1027,Manufacturing,29,110481,No,N/A - Active Employee
1028,Manufacturing,6,73435,No,N/A - Active Employee
1029,Manufacturing,17,129650,No,N/A - Active Employee
1030,Engineering,26,106336,No,N/A - Active Employee
1031,Manufacturing,21,96135,No,N/A - Active Employee
1032,Manufacturing,8,133631,No,N/A - Active Employee
1033,Sales,21,97909,No,N/A - Active Employee
1034,Sales,57,129487,No,N/A - Active Employee
1035,Engineering,11,81468,No,N/A - Active Employee
1036,Manufacturing,38,107655,No,N/A - Active Employee
1037,Manufacturing,8,94341,No,N/A - Active Employee
1038,Engineering,42,124182,No,N/A - Active Employee
1039,Manufacturing,24,111786,No,N/A - Active Employee
1040,Manufacturing,35,128304,No,N/A - Active Employee
1041,Manufacturing,55,106514,No,N/A - Active Employee
1042,Manufacturing,14,93979,No,N/A - Active Employee
1043,Sales,55,140981,No,N/A - Active Employee
1044,Manufacturing,14,115107,No,N/A - Active Employee
